SL.,Division,Name,Address
171,DHAKA,NITOL NILOY TOWER ATM,"Nitol Niloy Tower, Ground Floor Lobby area, Plot 42 & 69, Nikunja North C. A., Airport Road, Dhaka"
172,DHAKA,NORTH GULSHAN BRANCH ATM,"Kalpana House, 169 Gulshan North Avenue, Gulshan-2, Dhaka"
173,DHAKA,NORTH SOUTH ROAD ATM,"49 Syed Nazrul Islam Shoroni North South Road, Dhaka-1100"
174,DHAKA,NOYATOLA ATM,"550 Noyatola, Moghbazar"
175,CHATTOGRAM,O R NIZAM RD. BRANCH LOBBY ATM,"Avenue Centre, 787 CDA Avenue, Chattogram"
176,CHATTOGRAM,PAHARTOLI ATM,"Torab Arcade, DT Road, Pahartoli, Chattogram."
177,DHAKA,PALLABI SUB BR ATM,"PALLABI SHOPPING CENTER, House-33/16, Pallabi Shop No-11/A, Mirpur."
178,CHATTOGRAM,PANCHLAISH BRANCH ATM,"14 Panchlaish R.A., (Near Chattogram Medical College Hospital), Chattogram"
179,DHAKA,PANCHOBOTI BR ATM,"House No. 101 & 102, Ponchoboti Moor, Fatullah , Narayanganj, 1420"
180,DHAKA,PARASOLE ATM,"Parasole Footwear LTD, Gazirchat, Baipail,Ashuliya"
181,DHAKA,PATAN I.C. ROAD ATM,"35/A Purana Paltan Line, VIP ( Inner Circular Road), Dhaka"
182,CHATTOGRAM,PATIYA SUB BR ATM,"Amju Meah Tower, Opposite of Patiya Model School, Arakhan road, Patiya Municipality, Chattogram."
183,CHATTOGRAM,PRAGOTI IND. ATM,"PRAGOTI INDUSTRIES LTD, Barabkunda, Sitakunda, Chattogram ? 4312."
184,RAJSHAHI,PRAN AGRO ATM,"PRAN AGRO Group, Ekdala, Natore."
185,DHAKA,PRINCIPAL BRANCH ATM,"Jiban Bima Bhaban, 10 Dilkusha C.A., Dhaka"
186,DHAKA,PROGATI SHARANI BR ATM,"Plot-103/A, Progati Sharanee, Dhaka"
187,DHAKA,R K MISSION RD ATM,"1 R K Mission Road, Ittefaq Bhaban, Dhaka 1203"
188,RAJSHAHI,RAJSHAHI ATM,"105 Kazihata, Greater Road,Rajpara, Rajshahi,6000"
189,RAJSHAHI,RAJSHAHI BRANCH ATM,"Doinik Barta Complex (Ground Floor), Alupotti, Natore Road, Rajshahi-6000"
190,DHAKA,RAMPURA ATM,"337/1 East Rampura, DIT Road, Rampura, Dhaka ( on the south side of BTV Bhaban), Dhaka"
191,RANGPUR,RANGPUR ATM,"G L Roy Road Kotowali, Rangpur"
192,RANGPUR,RANGPUR BRANCH ATM,"11 Jail Road, Dhap, Ward No. 01, Kotwali, Rangpur City Corporation, Rangpur"
193,CHATTOGRAM,RAOZAN BRANCH ATM,"Shop- D-2, Bharetoshowry Market, Noapara Pathar Hat, Raozan, Chattogram"
194,DHAKA,RENATA ATM,"Renata Pharmaceuticals, Plot #1,Milk vita road ,sec #7 , Mirpur , Dhaka-1216g"
195,DHAKA,ROKEYA SARANI BRANCH ATM,"220/A, 1/1, F&I Tower, Begum Rokeya Sarani, Shewrapara, Mirpur, Dhaka."
196,DHAKA,RUPGANJ ATM,"City Economic Zone (Private Economic Zone by City Group), City Staff Quarter, Holding No-498, 499, Ward No-4, Tarabo, Rupganj, Narayanganj"
197,DHAKA,RUPNAGAR ATM,"Road ? 21, House-60, Rupnagar R/A, Mirpur, Dhaka"
198,CHATTOGRAM,SANMAR OCEAN CITY ATM,"Sanmar Ocean City, Shop I & II, Ground Floor, 997 CDA Avenue, Chattogram"
