SL No,ATM Name,Address
11,Nadda - Pragati Sarani FT - 7 ATM,"Ka - 40/2, 43/7  Jagannathpur, Pragati Sarani, Nadda, Dhaka"
12,Nadda - Pragati Sarani FT - 8 ATM,"Ka - 40/2, 43/7  Jagannathpur, Pragati Sarani, Nadda, Dhaka"
13,Kuril FT - 1 ATM,"Kazi Tower, 57/1, Kuril, Bishawroad, Progati Sarani, Dhaka - 1219"
14,Kuril FT - 2 ATM,"Kazi Tower, 57/1, Kuril, Bishawroad, Progati Sarani, Dhaka - 1219"
15,Kuril FT - 3 ATM,"Kazi Tower, 57/1, Kuril, Bishawroad, Progati Sarani, Dhaka - 1219"
16,Jamuna Future Park FT - 5 ATM,"Jamuna Future Park, Shop # GC - 036, Ka - 244, Kuril, Progoti Sarani, Dhaka - 1229"
17,Jamuna Future Park FT - 6 ATM,"Jamuna Future Park, Shop # GC - 036, Ka - 244, Kuril, Progoti Sarani, Dhaka - 1229"
18,Jamuna Future Park FT - 7 ATM,"Jamuna Future Park, Shop # GC - 036, Ka - 244, Kuril, Progoti Sarani, Dhaka - 1229"
19,Jamuna Future Park FT - 8 ATM,"Jamuna Future Park, Shop # GC - 036, Ka - 244, Kuril, Progoti Sarani, Dhaka - 1229"
20,Jamuna Future Park FT - 9 ATM,"Jamuna Future Park, Shop # GC - 036, Ka - 244, Kuril, Progoti Sarani, Dhaka - 1229"
21,"Barua, Khilkhet FT - 3, Dhaka ","26, Barua, Grameen Bank Road, Ward No - 48, Khilkhet, Dhaka"
22,"Bashundhara R/A FT-3, Dhaka","BDDL Badar Heights, Plot-262 and 263, Block-B, Bashundhara R/A, Baridhara, Dhaka-1229."
1,"Basila  FT-4, Dhaka ATM","C.L Tower, Holding - 772/1, Basila Road, Mohammadpur, Dhaka."
2,"Basila  FT-5, Dhaka ATM","C.L Tower, Holding - 772/1, Basila Road, Mohammadpur, Dhaka."
3,"Basila  FT-1, Dhaka ATM","C.L Tower, Holding - 772/1, Basila Road, Mohammadpur, Dhaka."
4,"Basila  FT-2, Dhaka ATM","C.L Tower, Holding - 772/1, Basila Road, Mohammadpur, Dhaka."
5,"Basila  FT-3, Dhaka ATM","C.L Tower, Holding - 772/1, Basila Road, Mohammadpur, Dhaka."
1,Purana Paltan FT - 1 ATM,"41/6 Swadesh Tower, Purana Paltan, Dhaka"
